symbol,quarter_label,net_sales_cr,pat_cr,diluted_eps,source_url,pulled_at
ABDL,Sep 2025,984,72,2.57,https://www.screener.in/company/ABDL/,2026-08-16T07:14:15
ABDL,Dec 2025,985,78,2.79,https://www.screener.in/company/ABDL/,2026-08-16T07:14:15
ABDL,Mar 2026,993,57,2.05,https://www.screener.in/company/ABDL/,2026-08-16T07:14:15
ABDL,Jun 2026,970,68,2.44,https://www.screener.in/company/ABDL/,2026-08-16T07:14:15
ABFRL,Jun 2023,2987,-49,-0.51,https://www.screener.in/company/ABFRL/,2026-08-16T07:14:15
ABFRL,Sep 2023,2995,-75,-0.79,https://www.screener.in/company/ABFRL/,2026-08-16T07:14:15
ABFRL,Dec 2023,3753,-16,-0.17,https://www.screener.in/company/ABFRL/,2026-08-16T07:14:15
ABFRL,Mar 2024,1197,-172,-1.70,https://www.screener.in/company/ABFRL/,2026-08-16T07:14:15
ABFRL,Jun 2024,1389,-79,-0.78,https://www.screener.in/company/ABFRL/,2026-08-16T07:14:15
ABFRL,Sep 2024,1387,-195,-1.82,https://www.screener.in/company/ABFRL/,2026-08-16T07:14:15
ABFRL,Dec 2024,1639,28,0.26,https://www.screener.in/company/ABFRL/,2026-08-16T07:14:15
ABFRL,Mar 2025,1194,119,0.97,https://www.screener.in/company/ABFRL/,2026-08-16T07:14:15
ABFRL,Jun 2025,1412,-77,-0.63,https://www.screener.in/company/ABFRL/,2026-08-16T07:14:15
ABFRL,Sep 2025,1492,-91,-0.74,https://www.screener.in/company/ABFRL/,2026-08-16T07:14:15
ABFRL,Dec 2025,1642,-62,-0.50,https://www.screener.in/company/ABFRL/,2026-08-16T07:14:15
ABFRL,Mar 2026,1409,-150,-1.23,https://www.screener.in/company/ABFRL/,2026-08-16T07:14:15
ABFRL,Jun 2026,1558,-106,-0.87,https://www.screener.in/company/ABFRL/,2026-08-16T07:14:15
ABLBL,Jun 2024,1796,25,,https://www.screener.in/company/ABLBL/,2026-08-16T07:14:15
ABLBL,Sep 2024,1962,-56,,https://www.screener.in/company/ABLBL/,2026-08-16T07:14:15
ABLBL,Dec 2024,2130,61,,https://www.screener.in/company/ABLBL/,2026-08-16T07:14:15
ABLBL,Mar 2025,1942,43,,https://www.screener.in/company/ABLBL/,2026-08-16T07:14:15
ABLBL,Jun 2025,1840,21,0.18,https://www.screener.in/company/ABLBL/,2026-08-16T07:14:15
ABLBL,Sep 2025,2037,23,0.19,https://www.screener.in/company/ABLBL/,2026-08-16T07:14:15
ABLBL,Dec 2025,2341,66,0.54,https://www.screener.in/company/ABLBL/,2026-08-16T07:14:15
ABLBL,Mar 2026,2154,24,0.20,https://www.screener.in/company/ABLBL/,2026-08-16T07:14:15
